Word,PoS,N_senses,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc,Concreteness_M,RT_correct_mean,RT_correct_std,Rank_L2,Rank_L1,Diff_L1_L2,Word_length,Phonetics_length,N_syllables,N_morphemes,N_suffixes,Prefix_length,Suffix_length,Prefix_famsize,Suffix_famsize,Root_famsize,Level
accurately,adverb,1,0,0,0,1,6587832,58,1.137254902,352,9.2311,348,0.0387,65,2.0983,64,224,6.3607,222,0.022,2.39,1200.778243,804.0566612,10198,4333,5865,10,12,4,3,2,0,5,0,3835,6,b2
accusation,noun,2,2,2,2,0,847191,143,2.803921569,104,2.7274,102,0.0113,17,0.5488,17,120,3.4075,120,0.0119,2.38,1230.84186,763.754048,14283,12559,1724,10,16,4,2,1,0,3,0,1599,5,c1
accuse,verb,2,2,1,2,0,1048371,290,5.68627451,155,4.0648,150,0.0167,68,2.1951,68,160,4.5433,160,0.0158,2.25,1100.565543,640.2111776,11042,14017,-2975,6,9,2,1,0,0,0,0,0,5,b2
achieve,verb,1,1,1,1,0,27332769,374,7.333333333,1640,43.0087,1564,0.1739,694,22.4029,681,856,24.3069,840,0.0831,2.29,1035.699571,737.0418184,5253,9973,-4720,7,10,2,1,0,0,0,0,0,6,a2
acid,adjective,5,2,0,0,0,30867887,6,0.117647059,598,15.6824,490,0.0545,195,6.2948,189,344,9.7682,305,0.0302,4.25,922.4136364,430.3743266,3571,5775,-2204,4,7,2,1,0,0,0,0,0,5,c1
acid,noun,5,1,2,1,0,30867887,502,9.843137255,598,15.6824,490,0.0545,195,6.2948,189,344,9.7682,305,0.0302,4.25,922.4136364,430.3743266,3571,5775,-2204,4,7,2,1,0,0,0,0,0,5,b2
acknowledge,verb,6,5,6,3,1,6546612,313,6.137254902,686,17.9902,671,0.0746,188,6.0688,187,537,15.2486,533,0.0528,2.03,1169.216867,716.6384968,6921,1367,5554,11,12,3,3,0,1,0,309,0,29,b2
acquire,verb,7,6,5,5,1,8803690,135,2.647058824,341,8.9427,329,0.0366,197,6.3593,184,360,10.2225,359,0.0355,2.93,1177.126126,826.5026914,15013,11305,3708,7,11,2,2,0,1,0,309,0,26,b2
across,adverb,1,1,0,0,0,76597151,652,12.78431373,8323,218.2692,7988,0.8883,2606,84.1237,2591,8250,234.2662,8096,0.8014,3.07,1024.970339,751.523346,1545,6069,-4524,6,8,2,1,0,0,0,0,0,1,a1
across,preposition,1,0,0,0,0,76597151,4141,81.19607843,8323,218.2692,7988,0.8883,2606,84.1237,2591,8250,234.2662,8096,0.8014,3.07,1024.970339,751.523346,1545,6069,-4524,6,8,2,1,0,0,0,0,0,1,a1
act,noun,14,3,5,3,0,141076205,2739,53.70588235,5460,143.1875,4780,0.5315,3959,127.7996,3848,4942,140.3326,4668,0.4621,2.46,917.7955556,547.661867,319,41,278,3,6,1,1,0,0,0,0,0,59,b1
act,verb,14,7,6,7,1,141076205,2823,55.35294118,5460,143.1875,4780,0.5315,3959,127.7996,3848,4942,140.3326,4668,0.4621,2.46,917.7955556,547.661867,319,41,278,3,6,1,1,0,0,0,0,0,59,a2
action,noun,12,5,10,6,1,162023431,3098,60.74509804,5102,133.7991,4565,0.5076,2866,92.5167,2766,4990,141.6956,4841,0.4792,2.86,832.6445498,313.612806,1762,4611,-2849,6,8,2,2,1,0,3,0,1599,59,a1
activate,verb,5,2,5,1,1,5014202,238,4.666666667,99,2.5963,97,0.0108,78,2.5179,77,80,2.2717,78,0.0077,2.97,966.2547529,466.206806,935,5178,-4243,8,13,3,3,2,0,6,0,1517,59,b2
activation,noun,3,1,3,2,2,10581402,43,0.843137255,68,1.7833,62,0.0069,44,1.4204,44,33,0.9371,33,0.0033,2.41,1087.138462,632.2136113,2206,3000,-794,10,15,4,4,3,0,9,0,3116,59,c1
active,adjective,17,3,0,0,11,84084764,584,11.45098039,1662,43.5857,1542,0.1715,902,29.1173,889,1890,53.6683,1851,0.1832,3.32,856.0845771,355.6967638,1333,207,1126,6,8,2,2,1,0,3,0,580,59,a2
activist,noun,2,1,1,1,0,4027427,50,0.980392157,310,8.1297,298,0.0331,143,4.6162,141,867,24.6193,854,0.0845,3.34,988.4032258,565.0426937,2783,3671,-888,8,12,3,3,2,0,6,0,1042,59,c1
activity,noun,6,4,6,5,3,79633609,657,12.88235294,2140,56.1211,1963,0.2183,775,25.0176,770,2185,62.0451,2096,0.2075,2.72,908.9469027,355.9662741,313,8365,-8052,8,11,4,3,2,0,6,0,1160,59,a1
actor,noun,2,2,2,2,0,16282891,1336,26.19607843,1040,27.2738,950,0.1056,997,32.1839,979,1635,46.4273,1521,0.1506,4.57,897.122449,602.4427608,35,4097,-4062,5,7,2,2,1,0,2,0,289,59,a1
actress,noun,1,0,1,1,0,7010056,814,15.96078431,597,15.6562,554,0.0616,500,16.1404,492,1046,29.7021,987,0.0977,4.54,983.7686275,466.2884754,3470,8130,-4660,7,9,2,2,1,0,3,0,43,59,a1
actual,adjective,6,1,0,0,1,42552937,882,17.29411765,3069,80.484,2939,0.3268,1240,40.0282,1232,1261,35.8072,1242,0.1229,2.22,933.4382979,502.8991499,1110,5032,-3922,6,13,3,2,1,0,2,0,1431,59,b2
actually,adverb,2,2,0,0,0,69444655,16406,321.6862745,18109,474.9053,17041,1.8949,11721,378.3629,11644,5575,158.3072,5466,0.5411,1.37,944.1255814,454.9795908,811,4810,-3999,8,14,4,3,2,0,3,0,3917,59,a2
acute,adjective,7,3,0,0,2,11128841,150,2.941176471,175,4.5893,170,0.0189,32,1.033,32,184,5.2248,176,0.0174,1.92,1135.971014,622.8760408,21055,6320,14735,5,9,2,1,0,0,0,0,0,3,c1
adapt,verb,2,2,2,2,0,4675567,134,2.62745098,347,9.1,331,0.0368,160,5.1649,156,264,7.4965,257,0.0254,2.41,942.4850746,392.5901454,7054,420,6634,5,8,2,1,0,0,0,0,0,7,b2
adaptation,noun,3,2,3,3,0,5314230,81,1.588235294,306,8.0248,288,0.032,92,2.9698,91,275,7.8089,272,0.0269,2.04,1164.202703,752.9633279,4345,2039,2306,10,14,4,2,1,0,3,0,1599,7,c1
add,verb,7,4,6,4,2,387231739,1681,32.96078431,12453,326.5777,10154,1.1291,4537,146.4579,4371,5868,166.6272,5114,0.5062,3,892.9220183,412.7497745,354,142,212,3,5,1,1,0,0,0,0,0,5,a1
addiction,noun,3,1,3,1,0,9331004,199,3.901960784,596,15.63,530,0.0589,531,17.1411,518,452,12.8349,424,0.042,2.85,988.4868914,577.5769997,1734,3743,-2009,9,10,3,2,1,0,3,0,1599,3,b2
addition,noun,6,4,6,3,1,73434482,148,2.901960784,3002,78.7269,2937,0.3266,527,17.012,527,4139,117.5307,4111,0.4069,2.89,1005.190299,499.4098513,2551,7396,-4845,8,9,3,2,1,0,3,0,1599,5,b1
additional,adjective,1,1,0,0,0,132187702,300,5.882352941,1825,47.8603,1764,0.1962,322,10.3944,320,4059,115.259,3942,0.3902,2.43,1070.537255,733.7286058,2265,875,1390,10,12,4,3,2,0,5,0,3030,5,b2
adequate,adjective,3,1,0,0,1,15023940,134,2.62745098,338,8.864,327,0.0364,68,2.1951,68,488,13.8572,481,0.0476,1.97,1150.603687,598.3259204,10683,10503,180,8,10,3,2,1,0,3,0,937,6,b2
adequately,adverb,1,0,0,0,1,4425890,27,0.529411765,162,4.2484,158,0.0176,22,0.7102,22,208,5.9063,207,0.0205,1.72,1229.341463,823.4327779,17113,9336,7777,10,12,4,3,2,0,5,0,3835,6,b2
adhere,verb,6,4,6,2,0,2655276,29,0.568627451,271,7.1069,233,0.0259,15,0.4842,15,116,3.2939,115,0.0114,2.62,1147.694581,762.3076452,25120,11847,13273,6,9,2,2,0,2,0,4,0,16,c1
adjacent,adjective,3,2,0,0,0,9869232,37,0.725490196,206,5.4023,201,0.0224,34,1.0975,34,506,14.3683,502,0.0497,3.63,1093.514286,649.6293402,20600,4334,16266,8,14,3,1,0,0,0,0,0,1,c1
adjust,verb,5,3,5,3,1,9115016,287,5.62745098,606,15.8922,582,0.0647,207,6.6821,198,527,14.9646,513,0.0508,2.93,943.7929293,382.7115155,7233,11865,-4632,6,10,2,2,0,1,0,309,0,22,b2
adjustment,noun,5,5,5,5,0,12343670,157,3.078431373,252,6.6087,234,0.026,99,3.1958,97,304,8.6324,293,0.029,2.81,1000.018315,477.9709754,4570,4932,-362,10,14,3,3,1,1,4,309,288,22,c1
administer,verb,4,3,5,4,0,3754648,85,1.666666667,77,2.0193,75,0.0083,21,0.6779,21,121,3.4359,120,0.0119,2.53,1480.763713,1072.09947,14262,14455,-193,10,12,4,2,0,1,0,309,0,12,c1
administration,noun,4,6,6,4,0,77515175,387,7.588235294,1325,34.7479,1184,0.1317,221,7.1341,219,5670,161.0048,5454,0.5399,2.78,1093.667797,562.4504859,1207,1696,-489,14,19,5,4,2,1,6,309,2536,12,b2
admire,verb,2,1,2,1,1,2196307,723,14.17647059,561,14.7121,545,0.0606,347,11.2014,344,217,6.1619,214,0.0212,2.04,990.0743802,562.4740645,5079,4845,234,6,11,2,1,0,0,0,0,0,6,b1
admission,noun,3,3,4,3,0,16356727,181,3.549019608,446,11.6963,410,0.0456,446,14.3972,433,1315,37.3406,1234,0.1221,2.83,958.8087649,518.9950397,7141,2101,5040,9,10,3,2,1,0,3,0,1599,9,c1
admit,verb,7,6,5,5,3,8780656,3015,59.11764706,2902,76.1044,2818,0.3134,1429,46.1292,1421,644,18.287,633,0.0627,2.32,953.0319635,517.8918043,4804,7136,-2332,5,8,2,1,0,0,0,0,0,9,b1
adolescent,noun,5,1,1,1,0,5577666,28,0.549019608,156,4.0911,150,0.0167,29,0.9361,29,132,3.7483,129,0.0128,3.48,1090.384298,727.7216913,10887,15542,-4655,10,13,4,2,1,0,3,0,464,2,c1
adopt,verb,7,7,7,4,0,11272339,237,4.647058824,489,12.8239,465,0.0517,229,7.3923,229,541,15.3622,530,0.0525,2.36,958.2310924,420.869796,4449,4363,86,5,8,2,1,0,0,0,0,0,4,b2
adoption,noun,3,2,3,2,0,17860735,239,4.68627451,729,19.1179,591,0.0657,251,8.1025,247,482,13.6868,437,0.0433,3.03,1075.992308,520.3210176,2642,644,1998,8,10,3,2,1,0,3,0,1599,4,c1
adult,adjective,3,2,0,0,0,97583096,70,1.37254902,2342,61.4185,2122,0.236,1085,35.0246,1065,1820,51.6805,1736,0.1718,4.4,913.9649123,533.5791777,1601,32,1569,5,8,2,1,0,0,0,0,0,2,a2
adult,noun,3,1,2,1,1,97583096,656,12.8627451,2342,61.4185,2122,0.236,1085,35.0246,1065,1820,51.6805,1736,0.1718,4.4,913.9649123,533.5791777,1601,32,1569,5,8,2,1,0,0,0,0,0,2,a1
advance,adjective,20,2,0,0,0,44738913,7,0.137254902,1290,33.83,1218,0.1354,831,26.8253,824,2043,58.0128,2001,0.1981,2.57,901.4698276,382.7319871,1568,4198,-2630,7,9,2,1,0,0,0,0,0,2,b2
advance,noun,20,6,6,3,1,44738913,592,11.60784314,1290,33.83,1218,0.1354,831,26.8253,824,2043,58.0128,2001,0.1981,2.57,901.4698276,382.7319871,1568,4198,-2630,7,9,2,1,0,0,0,0,0,2,b2
advance,verb,20,10,11,6,5,44738913,215,4.215686275,1290,33.83,1218,0.1354,831,26.8253,824,2043,58.0128,2001,0.1981,2.57,901.4698276,382.7319871,1568,4198,-2630,7,9,2,1,0,0,0,0,0,2,b2
advanced,adjective,8,4,0,0,0,173422161,346,6.784313725,808,21.1897,773,0.086,422,13.6225,415,1373,38.9876,1334,0.132,1.83,969.8078431,494.1933919,1828,5543,-3715,8,10,2,1,0,0,0,0,0,2,b1
advantage,noun,4,2,3,1,2,32963469,1121,21.98039216,1566,41.0681,1509,0.1678,955,30.8281,949,2769,78.6283,2701,0.2674,2,963.9561753,478.6350113,3119,4404,-1285,9,14,3,1,0,0,0,0,0,6,a2
adventure,noun,3,1,1,0,0,34807033,684,13.41176471,1778,46.6277,1668,0.1855,959,30.9573,950,686,19.4796,660,0.0653,2.59,1013.147321,649.0767163,1639,4393,-2754,9,12,3,2,1,0,3,0,98,12,a2
adverse,adjective,2,2,0,0,0,11157534,36,0.705882353,197,5.1663,178,0.0198,25,0.807,25,146,4.1458,141,0.014,2.23,1112.310924,778.7444211,9921,4899,5022,7,9,2,1,0,0,0,0,0,5,c1
advertise,verb,2,2,2,2,0,81965610,84,1.647058824,152,3.9862,151,0.0168,178,5.746,175,123,3.4927,122,0.0121,2.81,1128.905738,651.0999393,3612,7789,-4177,9,13,3,2,1,0,3,0,430,9,a2
advice,noun,1,0,1,1,0,71268723,2447,47.98039216,2674,70.1252,2506,0.2787,2791,90.0956,2743,1584,44.9791,1539,0.1523,2.73,958.518018,466.7677702,1653,435,1218,6,10,2,1,0,0,0,0,0,1,a1
advise,verb,3,3,3,2,0,8325087,623,12.21568627,331,8.6804,318,0.0354,217,7.0049,217,242,6.8718,241,0.0239,2.03,1026.082251,725.3575114,2534,8584,-6050,6,10,2,1,0,0,0,0,0,12,b1
aesthetic,adjective,4,2,0,0,1,3100660,34,0.666666667,330,8.6542,311,0.0346,80,2.5825,78,192,5.452,191,0.0189,2.33,1329.895652,876.1845967,18525,12805,5720,9,11,3,3,1,3,2,6,1014,14,c1
affair,noun,3,3,3,2,0,5545856,1502,29.45098039,812,21.2946,781,0.0868,228,7.36,227,762,21.6377,738,0.0731,2.45,971.8122066,448.7492602,4911,2629,2282,6,8,2,1,0,0,0,0,0,1,b2
affection,noun,1,1,1,1,0,2332707,430,8.431372549,419,10.9882,393,0.0437,127,4.0997,124,190,5.3952,190,0.0188,2.22,1027.059925,522.3128043,3320,3002,318,9,10,3,3,1,1,3,309,1599,59,c1
afford,verb,3,2,2,1,0,10348210,2264,44.39215686,1278,33.5153,1228,0.1366,763,24.6302,747,1551,44.0421,1502,0.1487,1.83,1009.744275,535.20895,7185,4368,2817,6,8,2,1,0,0,0,0,0,1,b1
affordable,adjective,1,1,0,0,0,21650006,33,0.647058824,629,16.4954,588,0.0654,427,13.7839,424,1280,36.3468,1236,0.1223,2.1,1042.253333,549.4893838,10950,4418,6532,6,8,2,1,0,0,0,0,0,1,b2
afraid,adjective,4,0,0,0,1,10858793,12617,247.3921569,2508,65.7719,2341,0.2603,2020,65.2072,1924,993,28.1971,952,0.0942,2.7,1007.908397,499.225146,1772,5827,-4055,6,10,2,1,0,0,0,0,0,2,a1
after,adverb,2,1,0,0,0,372948094,568,11.1372549,46513,1219.7953,42139,4.6858,23850,769.8964,23458,62565,1776.5899,59075,5.8476,2.12,876.0648148,372.3627582,804,6902,-6098,5,8,2,1,0,0,0,0,0,5,a2
after,conjunction,2,0,0,0,0,372948094,11967,234.6470588,46513,1219.7953,42139,4.6858,23850,769.8964,23458,62565,1776.5899,59075,5.8476,2.12,876.0648148,372.3627582,804,6902,-6098,5,8,2,1,0,0,0,0,0,5,a2
after,preposition,2,0,0,0,0,372948094,22113,433.5882353,46513,1219.7953,42139,4.6858,23850,769.8964,23458,62565,1776.5899,59075,5.8476,2.12,876.0648148,372.3627582,804,6902,-6098,5,8,2,1,0,0,0,0,0,5,a1
aftermath,noun,2,2,2,1,0,3018203,53,1.039215686,257,6.7398,255,0.0284,60,1.9368,60,351,9.967,350,0.0346,1.97,1179.442786,834.9715252,18420,9736,8684,9,12,3,2,0,5,0,11,0,3,c1
again,adverb,1,1,0,0,0,150781416,40358,791.3333333,26395,692.2042,23981,2.6667,22720,733.4192,22329,11093,314.9958,10583,1.0476,2,849.4521739,342.590459,1582,3657,-2075,5,7,2,1,0,0,0,0,0,1,a1
age,noun,8,4,5,5,0,132725767,3914,76.74509804,6578,172.5069,5947,0.6613,2730,88.1265,2637,5853,166.2012,5470,0.5415,2.86,841.9795918,362.8766967,431,2115,-1684,3,9,1,1,0,0,0,0,0,7,a1
age,verb,8,1,3,1,1,132725767,114,2.235294118,6578,172.5069,5947,0.6613,2730,88.1265,2637,5853,166.2012,5470,0.5415,2.86,841.9795918,362.8766967,431,2115,-1684,3,9,1,1,0,0,0,0,0,7,b1
agency,noun,5,3,5,5,0,79915539,988,19.37254902,1585,41.5663,1374,0.1528,738,23.8232,727,6800,193.0922,6325,0.6261,3.87,961.0566802,524.3308209,2343,4689,-2346,6,13,3,1,0,0,0,0,0,1,b2
agenda,noun,2,2,2,2,0,24005891,372,7.294117647,908,23.8121,841,0.0935,519,16.7537,512,1021,28.9922,984,0.0974,2.66,993.1775701,497.1418179,8485,13466,-4981,6,11,3,1,0,0,0,0,0,1,b2
agent,noun,6,3,6,5,0,57103658,5209,102.1372549,1858,48.7257,1551,0.1725,915,29.5369,891,2781,78.969,2614,0.2587,3.61,913.5204918,657.3580646,1918,3459,-1541,5,12,2,1,0,0,0,0,0,3,b1
aggression,noun,5,2,5,2,0,2539892,143,2.803921569,183,4.7991,176,0.0196,41,1.3235,40,115,3.2655,114,0.0113,2.68,1100.745098,785.7527071,4529,11111,-6582,10,10,3,2,1,0,3,0,1599,9,c1
aggressive,adjective,3,2,0,0,1,7345918,405,7.941176471,618,16.2069,598,0.0665,287,9.2646,282,1441,40.9185,1393,0.1379,2.54,1005.004255,594.5025537,2481,1973,508,10,10,3,2,1,0,3,0,580,9,b2
ago,adverb,1,0,0,0,0,98839705,14578,285.8431373,12303,322.644,11847,1.3174,6237,201.3352,6190,13048,370.5098,12834,1.2704,1.42,1088.470339,623.896373,3343,13634,-10291,3,8,2,1,0,0,0,0,0,2,a1
agree,verb,5,3,4,5,2,47500911,3299,64.68627451,2436,63.8837,2333,0.2594,6922,223.4475,6882,2184,62.0167,2128,0.2106,2.31,872.4444444,395.751978,594,6,588,5,8,2,1,0,0,0,0,0,10,a1
agreement,noun,6,5,6,6,2,111356320,887,17.39215686,1187,31.1289,1053,0.1171,393,12.6863,384,3940,111.8799,3711,0.3673,2.22,952.473913,515.6615344,3817,711,3106,9,12,3,2,1,0,4,0,288,10,b1
agriculture,noun,4,3,4,1,0,29217130,56,1.098039216,388,10.1752,343,0.0381,67,2.1628,67,710,20.1611,683,0.0676,3.67,1148.629213,791.1973516,5586,3560,2026,11,15,4,2,0,0,0,0,0,28,b2
