Word,Definition,PoS1,PoS2,PoS3,PoS4,PoS5,PoS6,PoS7,PoS8,PoS9,N_senses,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc,Concreteness_M,RT_correct_mean,RT_correct_std,Rank_L2,Rank_L1,Diff_L1_L2,Word_length,Phonetics_length,N_syllables,N_morphemes,N_suffixes,Prefix_length,Suffix_length,Prefix_famsize,Suffix_famsize,Root_famsize
hotbed,A bed of earth heated by fermenting manure or other substances and covered with glass intended for raising early plants or for nourishing exotics.,0,0,0,0,1,0,0,0,0,2,0,2,0,0,220701,16,0.31372549,17,0.4458,17,0.0019,8,0.2582,8,47,1.3346,47,0.0047,3.39,1361.789474,753.8238459,32522,24105,8417,6,9,2,2,0,0,0,0,0,48
scalp,A bed of oysters or mussels.,0,0,0,0,1,0,0,0,0,3,0,1,1,0,1356840,158,3.098039216,104,2.7274,90,0.01,72,2.3242,68,35,0.9939,34,0.0034,4.82,1019.216814,463.7542375,17614,5240,12374,5,8,1,1,0,0,0,0,0,1
rosary,A bed of roses or place where roses grow.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1140145,61,1.196078431,69,1.8095,62,0.0069,22,0.7102,22,72,2.0445,66,0.0065,4.63,1234.100592,704.6041834,31082,21639,9443,6,12,3,2,1,0,3,0,356,16
cradle,A bed or cot for a baby oscillating on rockers or swinging on pivots; hence the place of origin or in which anything is nurtured or protected in the earlier period of existence.,0,0,0,0,1,0,0,0,0,10,2,4,0,0,5166543,139,2.725490196,142,3.7239,124,0.0138,38,1.2267,35,57,1.6186,56,0.0055,4.93,1215.756906,887.4116648,28368,14386,13982,6,12,2,1,0,0,0,0,0,1
bedspread,A bedquilt; a counterpane; a coverlet.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,388555,21,0.411764706,18,0.472,15,0.0017,3,0.0968,3,8,0.2272,8,0.0008,4.85,1636.755435,1113.835313,29102,12242,16860,9,11,2,2,0,0,0,0,0,41
mortal,A being subject to death; a human being; man.,0,0,0,0,1,0,0,0,0,5,1,1,1,1,2886162,347,6.803921569,341,8.9427,322,0.0358,103,3.3249,103,56,1.5902,54,0.0053,1.96,1041.435685,702.6059625,6116,2366,3750,6,10,2,2,1,0,2,0,1431,14
workbench,A bench on which work is performed as in a carpenter's shop.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1037033,10,0.196078431,35,0.9179,34,0.0038,5,0.1614,5,4,0.1136,4,0.0004,4.62,1425.846939,940.1152832,16523,3180,13343,9,13,2,2,0,0,0,0,0,92
crook,A bend turn or curve; curvature; flexure.,0,0,0,0,1,0,0,0,0,4,3,3,2,0,1067661,285,5.588235294,66,1.7308,64,0.0071,26,0.8393,25,68,1.9309,65,0.0064,3.79,1108.559524,665.0116446,25837,3196,22641,5,7,1,1,0,0,0,0,0,3
sagging,A bending or sinking between the ends of a thing in consequence of its own or an imposed weight; an arching downward in the middle as of a ship after straining. Cf. Hogging.,0,0,0,0,1,0,0,0,0,1,2,2,1,0,347009,11,0.215686275,30,0.7867,30,0.0033,35,1.1298,35,96,2.726,96,0.0095,3.43,1336.25,852.2555497,34376,12634,21742,7,8,2,1,0,0,0,0,0,2
crank,A bent portion of an axle or shaft or an arm keyed at right angles to the end of a shaft by which motion is imparted to or received from it; also used to change circular into reciprocating motion or reciprocating into circular motion.,0,0,0,0,1,0,0,0,0,10,4,4,2,0,2185208,141,2.764705882,124,3.2519,120,0.0133,116,3.7446,113,83,2.3569,83,0.0082,4.5,1214.569767,634.0587174,23783,9763,14020,5,8,1,1,0,0,0,0,0,4
stepchild,A bereaved child; one who has lost father or mother.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,124204,6,0.117647059,18,0.472,18,0.002,6,0.1937,6,13,0.3691,13,0.0013,4.33,1300.87218,750.8157316,9825,14032,-4207,9,15,2,2,0,0,0,0,0,33
lemonade,A beverage consisting of lemon juice mixed with water and sweetened.,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1077090,281,5.509803922,204,5.3499,187,0.0208,432,13.9453,422,173,4.9125,156,0.0154,4.83,1000.980469,452.901309,1825,820,1005,8,13,3,2,1,0,3,0,5,2
beet,A biennial plant of the genus Beta which produces an edible root the first year and seed the second year.,0,0,0,0,1,0,0,0,0,2,2,2,2,0,816051,14,0.274509804,108,2.8323,93,0.0103,68,2.1951,66,98,2.7828,88,0.0087,4.8,1274.2657,799.3353561,26663,20119,6544,4,7,1,1,0,0,0,0,0,2
chloride,A binary compound of chlorine with another element or radical.,0,0,0,0,1,0,0,0,0,2,0,2,2,0,3543235,45,0.882352941,17,0.4458,16,0.0018,7,0.226,7,22,0.6247,21,0.0021,3.74,1150.571429,617.9688656,14560,16800,-2240,8,12,2,2,1,0,3,0,14,10
fluoride,A binary compound of fluorine with another element or radical.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1411775,8,0.156862745,58,1.521,39,0.0043,14,0.4519,14,27,0.7667,21,0.0021,4.37,1198.817021,771.956979,16354,7823,8531,8,12,3,2,1,0,3,0,14,11
oxide,A binary compound of oxygen with an atom or radical or a compound which is regarded as binary.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5321340,61,1.196078431,40,1.049,34,0.0038,12,0.3874,12,37,1.0506,33,0.0033,3.87,1161.133891,600.2118804,12334,16088,-3754,5,10,2,1,0,0,0,0,0,8
binocular,A binocular glass whether opera glass telescope or microscope.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1200231,1,0.019607843,13,0.3409,13,0.0014,3,0.0968,3,10,0.284,8,0.0008,4.5,1123.883929,648.7837016,12714,1553,11161,9,12,4,3,1,0,2,0,129,12
autobiography,A biography written by the subject of it; memoirs of one's life written by one's self.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3411910,41,0.803921569,148,3.8813,136,0.0151,63,2.0337,63,84,2.3853,82,0.0081,3.74,1187.476563,740.1156769,2250,5762,-3512,13,20,6,4,1,4,1,18,2486,146
cuckoo,A bird belonging to Cuculus Coccyzus and several allied genera of many species.,0,0,0,0,1,0,0,0,0,3,1,2,1,0,1045203,150,2.941176471,49,1.285,48,0.0053,24,0.7747,22,30,0.8519,29,0.0029,4.42,1517.183432,1218.076507,30272,24055,6217,6,8,2,1,0,0,0,0,0,1
buzzard,A bird of prey of the Hawk family belonging to the genus Buteo and related genera.,0,0,0,0,1,0,0,0,0,2,2,2,0,0,487611,88,1.725490196,25,0.6556,23,0.0026,10,0.3228,10,12,0.3408,11,0.0011,4.74,1360.615385,982.2738482,42020,12833,29187,7,8,2,1,0,0,0,0,0,1
bunting,A bird of the genus Emberiza or of an allied genus related to the finches and sparrows (family Fringillidae).,0,0,0,0,1,0,0,0,0,2,2,2,1,0,892992,9,0.176470588,59,1.5473,57,0.0063,39,1.259,38,53,1.505,51,0.005,4,1575.493671,871.7313288,48688,23830,24858,7,9,2,1,0,0,0,0,0,1
cockatoo,A bird of the Parrot family of the subfamily Cacatuinae having a short strong and much curved beak and the head ornamented with a crest which can be raised or depressed at will. There are several genera and many species.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,241528,7,0.137254902,6,0.1573,5,0.0006,4,0.1291,4,5,0.142,5,0.0005,4.73,1551.414634,874.3177651,49056,23601,25455,8,11,3,1,0,0,0,0,0,1
foul,A bird.,0,0,0,0,1,0,0,0,0,16,3,1,1,1,5268620,380,7.450980392,276,7.2381,261,0.029,629,20.3046,595,927,26.323,858,0.0849,2.4,1159.424107,803.6504235,11539,8035,3504,4,8,1,1,0,0,0,0,0,6
morphine,A bitter white crystalline alkaloid found in opium possessing strong narcotic properties and much used as an anodyne; -- called also morphia and morphina.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1283748,331,6.490196078,62,1.6259,56,0.0062,17,0.5488,17,35,0.9939,31,0.0031,4.5,1034.868996,434.5817917,8324,1837,6487,8,10,2,1,0,0,0,0,0,1
saccharin,A bitter white crystalline substance obtained from the saccharinates and regarded as the lactone of saccharinic acid; -- so called because formerly supposed to be isomeric with cane sugar (saccharose).,0,0,0,0,1,0,0,0,0,1,0,1,0,0,117645,3,0.058823529,7,0.1836,7,0.0008,1,0.0323,1,3,0.0852,3,0.0003,3.62,1543.900763,899.4760172,38509,36944,1565,9,11,3,1,0,0,0,0,0,1
clam,A bivalve mollusk of many kinds especially those that are edible.,0,0,0,0,0,0,0,0,1,4,1,3,2,0,1619041,144,2.823529412,97,2.5438,91,0.0101,107,3.454,103,96,2.726,84,0.0083,4.89,1200.337778,700.0452228,23973,15453,8520,4,7,1,1,0,0,0,0,0,7
gunpowder,A black granular explosive substance consisting of an intimate mechanical mixture of niter charcoal and sulphur. It is used in gunnery and blasting.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,465070,85,1.666666667,36,0.9441,33,0.0037,14,0.4519,12,34,0.9655,34,0.0034,4.79,1291.230435,888.2187533,8913,12740,-3827,9,12,3,2,0,0,0,0,0,34
soot,A black substance formed by combustion or disengaged from fuel in the process of combustion which rises in fine particles and adheres to the sides of the chimney or pipe conveying the smoke; strictly the fine powder consisting chiefly of carbon which colors smoke and which is the result of imperfect combustion.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,573490,55,1.078431373,63,1.6522,60,0.0067,6,0.1937,6,30,0.8519,30,0.003,4.61,1248.311927,674.2499495,45239,24801,20438,4,6,1,1,0,0,0,0,0,4
hardy,A blacksmith's fuller or chisel having a square shank for insertion into a square hole in an anvil called the hardy hole.,0,0,0,0,1,0,0,0,0,5,2,0,0,0,4748572,159,3.117647059,255,6.6873,223,0.0248,163,5.2618,159,297,8.4336,284,0.0281,2.22,1358.837838,1004.804788,20439,14593,5846,5,8,2,2,1,0,1,0,2486,30
scrapbook,A blank book in which extracts cut from books and papers may be pasted and kept.,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3394030,61,1.196078431,546,14.3188,493,0.0548,34,1.0975,33,67,1.9025,66,0.0065,4.76,1206.966825,598.678866,16179,1036,15143,9,11,2,2,0,0,0,0,0,60
orb,A blank window or panel.,0,0,0,0,1,0,0,0,0,3,2,2,1,0,2247433,140,2.745098039,60,1.5735,57,0.0063,13,0.4197,13,24,0.6815,20,0.002,4.12,1107.822368,601.7255772,34104,20206,13898,3,6,1,1,0,0,0,0,0,1
blasting,A blast; destruction by a blast or by some pernicious cause.,0,0,0,0,1,0,0,0,0,2,10,10,2,0,1282601,84,1.647058824,102,2.6749,98,0.0109,432,13.9453,429,112,3.1803,111,0.011,3.04,1145.191489,631.109728,12223,10235,1988,8,11,2,1,0,0,0,0,0,3
nosebleed,A bleeding at the nose.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,178227,30,0.588235294,13,0.3409,12,0.0013,19,0.6133,17,7,0.1988,7,0.0007,4.43,1412.877729,970.8289968,17455,15125,2330,9,13,2,2,0,0,0,0,0,13
vendetta,A blood feud; private revenge for the murder of a kinsman.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,792535,62,1.215686275,37,0.9703,37,0.0041,33,1.0653,32,49,1.3914,49,0.0049,2.08,1092.986364,565.1817139,18215,9836,8379,8,10,3,1,0,0,0,0,0,1
gnat,A blood-sucking dipterous fly of the genus Culex undergoing a metamorphosis in water. The females have a proboscis armed with needlelike organs for penetrating the skin of animals. These are wanting in the males. In America they are generally called mosquitoes.,0,0,0,0,1,0,0,0,0,2,0,2,1,0,465124,19,0.37254902,21,0.5507,19,0.0021,16,0.5165,16,6,0.1704,4,0.0004,4.83,1549.955882,1194.743218,51890,13904,37986,4,6,1,1,0,0,0,0,0,1
vampire,A blood-sucking ghost; a soul of a dead person superstitiously believed to come from the grave and wander about by night sucking the blood of persons asleep thus causing their death. This superstition is now prevalent in parts of Eastern Europe and was especially current in Hungary about the year 1730.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,6024192,891,17.47058824,865,22.6845,678,0.0754,528,17.0442,518,266,7.5533,238,0.0236,4.18,932.85,439.4080807,347,4808,-4461,7,12,2,1,0,0,0,0,0,1
bloom,A blossom; the flower of a plant; an expanded bud; flowers collectively.,0,0,0,0,1,0,0,0,0,7,6,6,2,0,5456938,108,2.117647059,535,14.0303,499,0.0555,168,5.4232,167,386,10.9608,350,0.0346,4,1027.155102,519.1874014,8170,346,7824,5,8,1,1,0,0,0,0,0,2
blotch,A blot or spot as of color or of ink; especially a large or irregular spot. Also Fig..,1,0,0,0,0,0,0,0,0,2,1,1,0,0,87843,7,0.137254902,2,0.0524,2,0.0002,1,0.0323,1,2,0.0568,2,0.0002,3.86,1220.836207,574.0249494,41532,20463,21069,6,9,1,1,0,0,0,0,0,3
bang,A blow as with a club; a heavy blow.,0,0,0,0,1,0,0,0,0,12,5,5,2,0,17596497,731,14.33333333,567,14.8695,497,0.0553,896,28.9236,759,281,7.9792,260,0.0257,3.77,1069.53,589.1866544,6816,5146,1670,4,6,1,1,0,0,0,0,0,2
dowse,A blow on the face.,0,0,0,0,1,0,0,0,0,5,1,1,1,0,52031,2,0.039215686,0,0,0,0,0,0,0,2,0.0568,2,0.0002,3.18,1563.725806,1147.042086,52492,39666,12826,5,8,1,1,0,0,0,0,0,2
spank,A blow with the open hand; a slap.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,5416004,155,3.039215686,48,1.2588,45,0.005,64,2.066,61,8,0.2272,6,0.0006,4.21,1091.75,559.7849631,22564,6934,15630,5,8,1,1,0,0,0,0,0,1
swap,A blow; a stroke.,0,0,0,0,1,0,0,0,0,3,1,1,1,0,7936113,155,3.039215686,521,13.6631,453,0.0504,267,8.619,261,280,7.9509,268,0.0265,3.85,1068.795349,715.0945202,11314,12442,-1128,4,7,1,1,0,0,0,0,0,1
cuff,A blow; esp. a blow with the open hand; a box; a slap.,0,0,0,0,1,0,0,0,0,4,2,2,1,0,2625819,290,5.68627451,127,3.3306,118,0.0131,83,2.6793,80,64,1.8173,58,0.0057,4.61,1229.520179,880.8080894,25072,10585,14487,4,6,1,1,0,0,0,0,0,4
splurge,A blustering demonstration or great effort; a great display.,0,0,0,0,1,0,0,0,0,4,1,2,0,0,204888,16,0.31372549,103,2.7012,99,0.011,49,1.5818,48,86,2.442,85,0.0084,2,1189.064,577.5129763,41556,15584,25972,7,11,1,1,0,0,0,0,0,1
dashboard,A board placed on the fore part of a carriage sleigh or other vehicle to intercept water mud or snow thrown up by the heels of the horses; -- in England commonly called splashboard.,0,0,0,0,1,0,0,0,0,2,2,2,0,0,4610006,50,0.980392157,142,3.7239,133,0.0148,159,5.1326,159,79,2.2433,77,0.0076,4.61,1071.547511,490.5952264,13419,6529,6890,9,10,2,2,0,0,0,0,0,62
backboard,A board which supports the back wen one is sitting;,0,0,0,0,1,0,0,0,0,2,1,2,0,0,203314,24,0.470588235,3,0.0787,3,0.0003,22,0.7102,22,33,0.9371,33,0.0033,4.93,1399.813765,871.4303153,18629,19549,-920,9,10,2,2,0,0,0,0,0,62
brag,A boast or boasting; bragging; ostentatious pretense or self glorification.,0,0,0,0,1,0,0,0,0,3,1,1,1,0,649472,164,3.215686275,138,3.619,134,0.0149,243,7.8442,235,51,1.4482,51,0.005,2.41,1028.815642,553.5693217,26635,537,26098,4,7,1,1,0,0,0,0,0,1
braggart,A boaster.,0,0,0,0,0,0,0,0,1,2,1,1,0,0,29611,12,0.235294118,2,0.0524,2,0.0002,2,0.0646,2,4,0.1136,4,0.0004,3.15,1231.246753,641.7647781,51651,34662,16989,8,10,2,1,0,0,0,0,0,1
rowboat,A boat designed to be propelled by oars instead of sails.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,96627,50,0.980392157,20,0.5245,17,0.0019,4,0.1291,4,9,0.2556,9,0.0009,4.81,1397.814433,1035.637836,21548,18770,2778,7,12,2,2,0,0,0,0,0,31
steamboat,A boat or vessel propelled by steam power; -- generally used of river or coasting craft as distinguished from ocean steamers.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1468483,22,0.431372549,15,0.3934,14,0.0016,16,0.5165,16,96,2.726,82,0.0081,4.9,1333.263158,871.3574166,15507,9083,6424,9,13,2,2,0,0,0,0,0,35
sailboat,A boat propelled by a sail or sails.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,772469,81,1.588235294,34,0.8916,30,0.0033,13,0.4197,13,46,1.3062,46,0.0046,4.89,1182.887029,608.7782708,8644,17990,-9346,8,13,2,2,0,0,0,0,0,32
canoe,A boat used by rude nations formed of trunk of a tree excavated by cutting of burning into a suitable shape. It is propelled by a paddle or paddles or sometimes by sail and has no rudder.,0,0,0,0,1,0,0,0,0,2,0,1,1,0,3790795,180,3.529411765,120,3.147,92,0.0102,37,1.1944,37,116,3.2939,109,0.0108,4.86,1222.554502,716.0867603,12740,14243,-1503,5,8,2,1,0,0,0,0,0,2
cohort,A body of about five or six hundred soldiers; the tenth part of a legion.,0,0,0,0,1,0,0,0,0,3,1,3,1,0,3024028,10,0.196078431,77,2.0193,73,0.0081,43,1.3881,41,33,0.9371,33,0.0033,2.75,1224.426471,795.9304979,38104,21226,16878,6,11,2,1,0,0,0,0,0,1
infantry,A body of children.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,4572549,144,2.823529412,104,2.7274,95,0.0106,11,0.3551,11,110,3.1235,100,0.0099,4,1274.63285,682.9290575,23565,18707,4858,8,12,3,1,0,0,0,0,0,3
legion,A body of foot soldiers and cavalry consisting of different numbers at different periods -- from about four thousand to about six thousand men -- the cavalry being about one tenth.,0,0,0,0,1,0,0,0,0,4,2,4,2,0,2920122,126,2.470588235,120,3.147,111,0.0123,76,2.4533,75,242,6.8718,226,0.0224,2.69,1133.091255,771.2236876,8800,14701,-5901,6,11,2,1,0,0,0,0,0,2
brigade,A body of troops whether cavalry artillery infantry or mixed consisting of two or more regiments under the command of a brigadier general.,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3711855,162,3.176470588,151,3.9599,134,0.0149,38,1.2267,38,138,3.9186,131,0.013,4.3,1171.110048,640.4451745,15745,15043,702,7,11,2,1,0,0,0,0,0,2
battalion,A body of troops; esp. a body of troops or an army in battle array.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,3066598,298,5.843137255,71,1.862,58,0.0064,5,0.1614,5,154,4.373,147,0.0146,3.75,1290.279188,661.7289261,22001,24712,-2711,9,12,3,1,0,0,0,0,0,1
